PAIS,A1,S1,A2,S2,A3,S3,A4,S4,A5,S5,A6,S6,A7,S7,A8,S8,A9,S9,A10,S10,A11,S11,A12,S12,A13,S13,A14,S14,A15,S15,A16,S16,A17,S17,A18,S18,A19,S19,A20,S20,A21,S21
PE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00
PE,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00
PE,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00,0.03,0.00
PE,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00
PE,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00,0.05,0.00
PE,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.00
PE,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00,0.07,0.00
PE,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00
PE,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00,0.09,0.00
PE,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.10,0.00
PE,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00,0.11,0.00
PE,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00,0.12,0.00
PE,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00,0.13,0.00
PE,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00,0.14,0.00
PE,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00,0.15,0.00
PE,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00
PE,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00
PE,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.00
PE,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00
PE,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.20,0.00
PE,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00
PE,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00,0.22,0.00
PE,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00,0.23,0.00
PE,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00,0.24,0.00
PE,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00
PE,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00,0.26,0.00
PE,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00,0.27,0.00
PE,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00,0.28,0.00
PE,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00,0.29,0.00
PE,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00
PE,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00,0.31,0.00
PE,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00,0.32,0.00
PE,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.33,0.00
PE,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00,0.34,0.00
PE,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.50,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.00,0.35,0.50,0.35,0.00,0.35,0.50,0.35,0.50,0.35,0.00
PE,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.60,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.00,0.36,0.60,0.36,0.00,0.36,0.60,0.36,0.60,0.36,0.00
PE,0.37,0.00,0.37,0.50,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.70,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.00,0.37,0.70,0.37,0.00,0.37,0.70,0.37,0.70,0.37,0.00
PE,0.38,0.00,0.38,0.60,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.80,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.00,0.38,0.80,0.38,0.00,0.38,0.80,0.38,0.80,0.38,0.00
PE,0.39,0.00,0.39,0.70,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.90,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.00,0.39,0.90,0.39,0.50,0.39,0.90,0.39,0.90,0.39,0.00
PE,0.40,0.00,0.40,0.80,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.50,0.40,1.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,0.00,0.40,1.00,0.40,0.60,0.40,1.00,0.40,1.00,0.40,0.00
PE,0.41,0.00,0.41,0.90,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.60,0.41,1.10,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,0.00,0.41,1.10,0.41,0.70,0.41,1.10,0.41,1.10,0.41,0.00
PE,0.42,0.00,0.42,1.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.70,0.42,1.20,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,0.00,0.42,1.20,0.42,0.80,0.42,1.20,0.42,1.20,0.42,0.00
PE,0.43,0.00,0.43,1.10,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.80,0.43,1.30,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,0.00,0.43,1.30,0.43,0.90,0.43,1.30,0.43,1.30,0.43,0.00
PE,0.44,0.00,0.44,1.20,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.90,0.44,1.40,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,0.00,0.44,1.40,0.44,1.00,0.44,1.40,0.44,1.40,0.44,0.00
PE,0.45,0.00,0.45,1.30,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,1.00,0.45,1.50,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,0.00,0.45,1.50,0.45,1.10,0.45,1.50,0.45,1.50,0.45,0.00
PE,0.46,0.00,0.46,1.40,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,1.10,0.46,1.60,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,0.00,0.46,1.60,0.46,1.20,0.46,1.60,0.46,1.60,0.46,0.00
PE,0.47,0.00,0.47,1.50,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,1.20,0.47,1.70,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,0.00,0.47,1.70,0.47,1.30,0.47,1.70,0.47,1.70,0.47,0.00
PE,0.48,0.00,0.48,1.60,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,1.30,0.48,1.80,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.00,0.48,0.50,0.48,0.00,0.48,0.00,0.48,1.80,0.48,1.40,0.48,1.80,0.48,1.80,0.48,0.00
PE,0.49,0.00,0.49,1.70,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,1.40,0.49,1.90,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.00,0.49,0.60,0.49,0.00,0.49,0.00,0.49,1.90,0.49,1.50,0.49,1.90,0.49,1.90,0.49,0.00
