PAIS,A1,S1,A2,S2,A3,S3,A4,S4,A5,S5,A6,S6,A7,S7,A8,S8,A9,S9,A10,S10,A11,S11,A12,S12,A13,S13,A14,S14,A15,S15,A16,S16,A17,S17,A18,S18,A19,S19,A20,S20,A21,S21
PE,0.50,0.00,0.50,1.80,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,1.50,0.50,2.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.00,0.50,0.70,0.50,0.00,0.50,0.00,0.50,2.00,0.50,1.60,0.50,2.00,0.50,2.00,0.50,0.00
PE,0.51,0.00,0.51,1.90,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,1.60,0.51,2.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.00,0.51,0.80,0.51,0.00,0.51,0.00,0.51,2.00,0.51,1.70,0.51,2.00,0.51,2.00,0.51,0.00
PE,0.52,0.00,0.52,2.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.50,0.52,1.70,0.52,2.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.00,0.52,0.90,0.52,0.00,0.52,0.00,0.52,2.00,0.52,1.80,0.52,2.00,0.52,2.00,0.52,0.00
PE,0.53,0.00,0.53,2.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.60,0.53,1.80,0.53,2.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,0.00,0.53,1.00,0.53,0.00,0.53,0.00,0.53,2.00,0.53,1.90,0.53,2.00,0.53,2.00,0.53,0.00
PE,0.54,0.00,0.54,2.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.70,0.54,1.90,0.54,2.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,0.00,0.54,1.10,0.54,0.00,0.54,0.00,0.54,2.00,0.54,2.00,0.54,2.00,0.54,2.00,0.54,0.00
PE,0.55,0.50,0.55,2.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.80,0.55,2.00,0.55,2.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,0.00,0.55,1.20,0.55,0.00,0.55,0.00,0.55,2.00,0.55,2.00,0.55,2.00,0.55,2.00,0.55,0.00
PE,0.56,0.60,0.56,2.00,0.56,0.00,0.56,0.00,0.56,0.00,0.56,0.90,0.56,2.00,0.56,2.00,0.56,0.00,0.56,0.00,0.56,0.00,0.56,0.00,0.56,0.00,0.56,1.30,0.56,0.00,0.56,0.00,0.56,2.00,0.56,2.00,0.56,2.00,0.56,2.00,0.56,0.00
PE,0.57,0.70,0.57,2.00,0.57,0.50,0.57,0.00,0.57,0.00,0.57,1.00,0.57,2.00,0.57,2.00,0.57,0.00,0.57,0.00,0.57,0.00,0.57,0.00,0.57,0.00,0.57,1.40,0.57,0.00,0.57,0.00,0.57,2.00,0.57,2.00,0.57,2.00,0.57,2.00,0.57,0.00
PE,0.58,0.80,0.58,2.00,0.58,0.60,0.58,0.00,0.58,0.00,0.58,1.10,0.58,2.00,0.58,2.00,0.58,0.00,0.58,0.00,0.58,0.00,0.58,0.00,0.58,0.00,0.58,1.50,0.58,0.00,0.58,0.00,0.58,2.00,0.58,2.00,0.58,2.00,0.58,2.00,0.58,0.00
PE,0.59,0.90,0.59,2.00,0.59,0.70,0.59,0.00,0.59,0.00,0.59,1.20,0.59,2.00,0.59,2.00,0.59,0.00,0.59,0.00,0.59,0.00,0.59,0.00,0.59,0.00,0.59,1.60,0.59,0.00,0.59,0.00,0.59,2.00,0.59,2.00,0.59,2.00,0.59,2.00,0.59,0.00
PE,0.60,1.00,0.60,2.00,0.60,0.80,0.60,0.00,0.60,0.00,0.60,1.30,0.60,2.00,0.60,2.00,0.60,0.00,0.60,0.50,0.60,0.00,0.60,0.00,0.60,0.00,0.60,1.70,0.60,0.50,0.60,0.00,0.60,2.00,0.60,2.00,0.60,2.00,0.60,2.00,0.60,0.00
PE,0.61,1.10,0.61,2.00,0.61,0.90,0.61,0.50,0.61,0.00,0.61,1.40,0.61,2.00,0.61,2.00,0.61,0.00,0.61,0.60,0.61,0.00,0.61,0.00,0.61,0.50,0.61,1.80,0.61,0.60,0.61,0.00,0.61,2.00,0.61,2.00,0.61,2.00,0.61,2.00,0.61,0.00
PE,0.62,1.20,0.62,2.00,0.62,1.00,0.62,0.60,0.62,0.00,0.62,1.50,0.62,2.00,0.62,2.00,0.62,0.00,0.62,0.70,0.62,0.50,0.62,0.00,0.62,0.60,0.62,1.90,0.62,0.70,0.62,0.50,0.62,2.00,0.62,2.00,0.62,2.00,0.62,2.00,0.62,0.50
PE,0.63,1.30,0.63,2.00,0.63,1.10,0.63,0.70,0.63,0.00,0.63,1.60,0.63,2.00,0.63,2.00,0.63,0.00,0.63,0.80,0.63,0.60,0.63,0.50,0.63,0.70,0.63,2.00,0.63,0.80,0.63,0.60,0.63,2.00,0.63,2.00,0.63,2.00,0.63,2.00,0.63,0.60
PE,0.64,1.40,0.64,2.00,0.64,1.20,0.64,0.80,0.64,0.00,0.64,1.70,0.64,2.00,0.64,2.00,0.64,0.50,0.64,0.90,0.64,0.70,0.64,0.60,0.64,0.80,0.64,2.00,0.64,0.90,0.64,0.70,0.64,2.00,0.64,2.00,0.64,2.00,0.64,2.00,0.64,0.70
PE,0.65,1.50,0.65,2.00,0.65,1.30,0.65,0.90,0.65,0.00,0.65,1.80,0.65,2.00,0.65,2.00,0.65,0.60,0.65,1.00,0.65,0.80,0.65,0.70,0.65,0.90,0.65,2.00,0.65,1.00,0.65,0.80,0.65,2.00,0.65,2.00,0.65,2.00,0.65,2.00,0.65,0.80
PE,0.66,1.60,0.66,2.00,0.66,1.40,0.66,1.00,0.66,0.00,0.66,1.90,0.66,2.00,0.66,2.00,0.66,0.70,0.66,1.10,0.66,0.90,0.66,0.80,0.66,1.00,0.66,2.00,0.66,1.10,0.66,0.90,0.66,2.00,0.66,2.00,0.66,2.00,0.66,2.00,0.66,0.90
PE,0.67,1.70,0.67,2.00,0.67,1.50,0.67,1.10,0.67,0.50,0.67,2.00,0.67,2.00,0.67,2.00,0.67,0.80,0.67,1.20,0.67,1.00,0.67,0.90,0.67,1.10,0.67,2.00,0.67,1.20,0.67,1.00,0.67,2.00,0.67,2.00,0.67,2.00,0.67,2.00,0.67,1.00
PE,0.68,1.80,0.68,2.00,0.68,1.60,0.68,1.20,0.68,0.60,0.68,2.00,0.68,2.00,0.68,2.00,0.68,0.90,0.68,1.30,0.68,1.10,0.68,1.00,0.68,1.20,0.68,2.00,0.68,1.30,0.68,1.10,0.68,2.00,0.68,2.00,0.68,2.00,0.68,2.00,0.68,1.10
PE,0.69,1.90,0.69,2.00,0.69,1.70,0.69,1.30,0.69,0.70,0.69,2.00,0.69,2.00,0.69,2.00,0.69,1.00,0.69,1.40,0.69,1.20,0.69,1.10,0.69,1.30,0.69,2.00,0.69,1.40,0.69,1.20,0.69,2.00,0.69,2.00,0.69,2.00,0.69,2.00,0.69,1.20
PE,0.70,2.00,0.70,2.00,0.70,1.80,0.70,1.40,0.70,0.80,0.70,2.00,0.70,2.00,0.70,2.00,0.70,1.10,0.70,1.50,0.70,1.30,0.70,1.20,0.70,1.40,0.70,2.00,0.70,1.50,0.70,1.30,0.70,2.00,0.70,2.00,0.70,2.00,0.70,2.00,0.70,1.30
PE,0.71,2.00,0.71,2.00,0.71,1.90,0.71,1.50,0.71,0.90,0.71,2.00,0.71,2.00,0.71,2.00,0.71,1.20,0.71,1.60,0.71,1.40,0.71,1.30,0.71,1.50,0.71,2.00,0.71,1.60,0.71,1.40,0.71,2.00,0.71,2.00,0.71,2.00,0.71,2.00,0.71,1.40
PE,0.72,2.00,0.72,2.00,0.72,2.00,0.72,1.60,0.72,1.00,0.72,2.00,0.72,2.00,0.72,2.00,0.72,1.30,0.72,1.70,0.72,1.50,0.72,1.40,0.72,1.60,0.72,2.00,0.72,1.70,0.72,1.50,0.72,2.00,0.72,2.00,0.72,2.00,0.72,2.00,0.72,1.50
PE,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.70,0.73,1.10,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.40,0.73,1.80,0.73,1.60,0.73,1.50,0.73,1.70,0.73,2.00,0.73,1.80,0.73,1.60,0.73,2.00,0.73,2.00,0.73,2.00,0.73,2.00,0.73,1.60
PE,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.80,0.74,1.20,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.50,0.74,1.90,0.74,1.70,0.74,1.60,0.74,1.80,0.74,2.00,0.74,1.90,0.74,1.70,0.74,2.00,0.74,2.00,0.74,2.00,0.74,2.00,0.74,1.70
PE,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.90,0.75,1.30,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.60,0.75,2.00,0.75,1.80,0.75,1.70,0.75,1.90,0.75,2.00,0.75,2.00,0.75,1.80,0.75,2.00,0.75,2.00,0.75,2.00,0.75,2.00,0.75,1.80
PE,0.76,2.00,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.40,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.70,0.76,2.00,0.76,1.90,0.76,1.80,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.90,0.76,2.00,0.76,2.00,0.76,2.00,0.76,2.00,0.76,1.90
PE,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,1.50,0.77,2.00,0.77,2.00,0.77,2.00,0.77,1.80,0.77,2.00,0.77,2.00,0.77,1.90,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00,0.77,2.00
PE,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,1.60,0.78,2.00,0.78,2.00,0.78,2.00,0.78,1.90,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00,0.78,2.00
PE,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,1.70,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00,0.79,2.00
PE,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,1.80,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00,0.80,2.00
PE,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,1.90,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00,0.81,2.00
PE,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00,0.82,2.00
PE,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00,0.83,2.00
PE,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00,0.84,2.00
PE,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00,0.85,2.00
PE,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00,0.86,2.00
PE,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00,0.87,2.00
PE,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00,0.88,2.00
PE,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00,0.89,2.00
PE,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00,0.90,2.00
PE,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00,0.91,2.00
PE,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00,0.92,2.00
PE,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00,0.93,2.00
PE,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00,0.94,2.00
PE,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00,0.95,2.00
PE,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00,0.96,2.00
PE,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00,0.97,2.00
PE,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00,0.98,2.00
PE,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00,0.99,2.00
PE,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00,1.00,2.00
