pais,cod_zona,cod_ruta,desc_marca,objetivo_clientes
GT,13001,13001,BIG,152
GT,13001,13001,CIELO,195
GT,13001,13001,CIFRUT,152
GT,13001,13001,PULP,109
GT,13001,13001,SPORADE,130
GT,13001,13001,VOLT,109
GT,13001,13001,KR,65
GT,13001,13001,BIO ALOE,43
GT,13001,13001,D GUSSTO,54
GT,13001,13002,BIG,149
GT,13001,13002,CIELO,192
GT,13001,13002,CIFRUT,149
GT,13001,13002,PULP,107
GT,13001,13002,SPORADE,128
GT,13001,13002,VOLT,107
GT,13001,13002,KR,64
GT,13001,13002,BIO ALOE,43
GT,13001,13002,D GUSSTO,53
GT,13001,13003,BIG,158
GT,13001,13003,CIELO,203
GT,13001,13003,CIFRUT,158
GT,13001,13003,PULP,113
GT,13001,13003,SPORADE,136
GT,13001,13003,VOLT,113
GT,13001,13003,KR,68
GT,13001,13003,BIO ALOE,45
GT,13001,13003,D GUSSTO,57
GT,13001,13004,BIG,204
GT,13001,13004,CIELO,263
GT,13001,13004,CIFRUT,204
GT,13001,13004,PULP,146
GT,13001,13004,SPORADE,175
GT,13001,13004,VOLT,146
GT,13001,13004,KR,88
GT,13001,13004,BIO ALOE,58
GT,13001,13004,D GUSSTO,73
GT,13001,13005,BIG,152
GT,13001,13005,CIELO,195
GT,13001,13005,CIFRUT,152
GT,13001,13005,PULP,109
GT,13001,13005,SPORADE,130
GT,13001,13005,VOLT,109
GT,13001,13005,KR,65
GT,13001,13005,BIO ALOE,43
GT,13001,13005,D GUSSTO,54
GT,13001,13006,BIG,161
GT,13001,13006,CIELO,207
GT,13001,13006,CIFRUT,161
GT,13001,13006,PULP,115
GT,13001,13006,SPORADE,138
GT,13001,13006,VOLT,115
GT,13001,13006,KR,69
GT,13001,13006,BIO ALOE,46
GT,13001,13006,D GUSSTO,58
GT,13001,13019,BIG,140
GT,13001,13019,CIELO,180
GT,13001,13019,CIFRUT,140
GT,13001,13019,PULP,100
GT,13001,13019,SPORADE,120
GT,13001,13019,VOLT,100
GT,13001,13019,KR,60
GT,13001,13019,BIO ALOE,40
GT,13001,13019,D GUSSTO,50
GT,13002,13007,BIG,207
GT,13002,13007,CIELO,266
GT,13002,13007,CIFRUT,207
GT,13002,13007,PULP,148
GT,13002,13007,SPORADE,178
GT,13002,13007,VOLT,148
GT,13002,13007,KR,89
GT,13002,13007,BIO ALOE,59
GT,13002,13007,D GUSSTO,74
GT,13002,13008,BIG,146
GT,13002,13008,CIELO,187
GT,13002,13008,CIFRUT,146
GT,13002,13008,PULP,104
GT,13002,13008,SPORADE,125
GT,13002,13008,VOLT,104
GT,13002,13008,KR,62
GT,13002,13008,BIO ALOE,42
GT,13002,13008,D GUSSTO,52
GT,13002,13009,BIG,182
GT,13002,13009,CIELO,234
GT,13002,13009,CIFRUT,182
GT,13002,13009,PULP,130
GT,13002,13009,SPORADE,156
GT,13002,13009,VOLT,130
GT,13002,13009,KR,78
GT,13002,13009,BIO ALOE,52
GT,13002,13009,D GUSSTO,65
GT,13002,13010,BIG,192
GT,13002,13010,CIELO,247
GT,13002,13010,CIFRUT,192
GT,13002,13010,PULP,137
GT,13002,13010,SPORADE,164
GT,13002,13010,VOLT,137
GT,13002,13010,KR,82
GT,13002,13010,BIO ALOE,55
GT,13002,13010,D GUSSTO,69
GT,13002,13011,BIG,170
GT,13002,13011,CIELO,219
GT,13002,13011,CIFRUT,170
GT,13002,13011,PULP,122
GT,13002,13011,SPORADE,146
GT,13002,13011,VOLT,122
GT,13002,13011,KR,73
GT,13002,13011,BIO ALOE,49
GT,13002,13011,D GUSSTO,61
GT,13002,13012,BIG,151
GT,13002,13012,CIELO,194
GT,13002,13012,CIFRUT,151
GT,13002,13012,PULP,108
GT,13002,13012,SPORADE,129
GT,13002,13012,VOLT,108
GT,13002,13012,KR,65
GT,13002,13012,BIO ALOE,43
GT,13002,13012,D GUSSTO,54
GT,13003,13013,BIG,181
GT,13003,13013,CIELO,232
GT,13003,13013,CIFRUT,181
GT,13003,13013,PULP,129
GT,13003,13013,SPORADE,155
GT,13003,13013,VOLT,129
GT,13003,13013,KR,77
GT,13003,13013,BIO ALOE,52
GT,13003,13013,D GUSSTO,65
GT,13003,13014,BIG,136
GT,13003,13014,CIELO,175
GT,13003,13014,CIFRUT,136
GT,13003,13014,PULP,97
GT,13003,13014,SPORADE,116
GT,13003,13014,VOLT,97
GT,13003,13014,KR,58
GT,13003,13014,BIO ALOE,39
GT,13003,13014,D GUSSTO,49
GT,13003,13015,BIG,140
GT,13003,13015,CIELO,180
GT,13003,13015,CIFRUT,140
GT,13003,13015,PULP,100
GT,13003,13015,SPORADE,120
GT,13003,13015,VOLT,100
GT,13003,13015,KR,60
GT,13003,13015,BIO ALOE,40
GT,13003,13015,D GUSSTO,50
GT,13003,13016,BIG,134
GT,13003,13016,CIELO,172
GT,13003,13016,CIFRUT,134
GT,13003,13016,PULP,96
GT,13003,13016,SPORADE,115
GT,13003,13016,VOLT,96
GT,13003,13016,KR,57
GT,13003,13016,BIO ALOE,38
GT,13003,13016,D GUSSTO,48
GT,13003,13017,BIG,112
GT,13003,13017,CIELO,144
GT,13003,13017,CIFRUT,112
GT,13003,13017,PULP,80
GT,13003,13017,SPORADE,96
GT,13003,13017,VOLT,80
GT,13003,13017,KR,48
GT,13003,13017,BIO ALOE,32
GT,13003,13017,D GUSSTO,40
GT,13003,13018,BIG,122
GT,13003,13018,CIELO,157
GT,13003,13018,CIFRUT,122
GT,13003,13018,PULP,87
GT,13003,13018,SPORADE,104
GT,13003,13018,VOLT,87
GT,13003,13018,KR,52
GT,13003,13018,BIO ALOE,35
GT,13003,13018,D GUSSTO,44
GT,12001,12001,BIG,158
GT,12001,12001,CIELO,203
GT,12001,12001,CIFRUT,158
GT,12001,12001,PULP,113
GT,12001,12001,SPORADE,181
GT,12001,12001,VOLT,124
GT,12001,12001,KR,68
GT,12001,12001,BIO ALOE,45
GT,12001,12001,D GUSSTO,45
GT,12001,12003,BIG,175
GT,12001,12003,CIELO,225
GT,12001,12003,CIFRUT,175
GT,12001,12003,PULP,125
GT,12001,12003,SPORADE,200
GT,12001,12003,VOLT,138
GT,12001,12003,KR,75
GT,12001,12003,BIO ALOE,50
GT,12001,12003,D GUSSTO,50
GT,12001,12004,BIG,159
GT,12001,12004,CIELO,204
GT,12001,12004,CIFRUT,159
GT,12001,12004,PULP,114
GT,12001,12004,SPORADE,182
GT,12001,12004,VOLT,125
GT,12001,12004,KR,68
GT,12001,12004,BIO ALOE,45
GT,12001,12004,D GUSSTO,45
GT,12001,12005,BIG,144
GT,12001,12005,CIELO,185
GT,12001,12005,CIFRUT,144
GT,12001,12005,PULP,103
GT,12001,12005,SPORADE,165
GT,12001,12005,VOLT,113
GT,12001,12005,KR,62
GT,12001,12005,BIO ALOE,41
GT,12001,12005,D GUSSTO,41
GT,12001,12006,BIG,193
GT,12001,12006,CIELO,248
GT,12001,12006,CIFRUT,193
GT,12001,12006,PULP,138
GT,12001,12006,SPORADE,221
GT,12001,12006,VOLT,152
GT,12001,12006,KR,83
GT,12001,12006,BIO ALOE,55
GT,12001,12006,D GUSSTO,55
GT,12001,12007,BIG,122
GT,12001,12007,CIELO,157
GT,12001,12007,CIFRUT,122
GT,12001,12007,PULP,87
GT,12001,12007,SPORADE,139
GT,12001,12007,VOLT,96
GT,12001,12007,KR,52
GT,12001,12007,BIO ALOE,35
GT,12001,12007,D GUSSTO,35
GT,12001,12008,BIG,132
GT,12001,12008,CIELO,169
GT,12001,12008,CIFRUT,132
GT,12001,12008,PULP,94
GT,12001,12008,SPORADE,150
GT,12001,12008,VOLT,103
GT,12001,12008,KR,56
GT,12001,12008,BIO ALOE,38
GT,12001,12008,D GUSSTO,38
GT,12001,12009,BIG,185
GT,12001,12009,CIELO,238
GT,12001,12009,CIFRUT,185
GT,12001,12009,PULP,132
GT,12001,12009,SPORADE,211
GT,12001,12009,VOLT,145
GT,12001,12009,KR,79
GT,12001,12009,BIO ALOE,53
GT,12001,12009,D GUSSTO,53
GT,12001,12020,BIG,139
GT,12001,12020,CIELO,178
GT,12001,12020,CIFRUT,139
GT,12001,12020,PULP,99
GT,12001,12020,SPORADE,158
GT,12001,12020,VOLT,109
GT,12001,12020,KR,59
GT,12001,12020,BIO ALOE,40
GT,12001,12020,D GUSSTO,40
GT,12001,12036,BIG,123
GT,12001,12036,CIELO,158
GT,12001,12036,CIFRUT,123
GT,12001,12036,PULP,88
GT,12001,12036,SPORADE,140
GT,12001,12036,VOLT,96
GT,12001,12036,KR,53
GT,12001,12036,BIO ALOE,35
GT,12001,12036,D GUSSTO,35
GT,12002,12010,BIG,162
GT,12002,12010,CIELO,209
GT,12002,12010,CIFRUT,162
GT,12002,12010,PULP,116
GT,12002,12010,SPORADE,186
GT,12002,12010,VOLT,128
GT,12002,12010,KR,70
GT,12002,12010,BIO ALOE,46
GT,12002,12010,D GUSSTO,46
GT,12002,12011,BIG,172
GT,12002,12011,CIELO,221
GT,12002,12011,CIFRUT,172
GT,12002,12011,PULP,123
GT,12002,12011,SPORADE,197
GT,12002,12011,VOLT,135
GT,12002,12011,KR,74
GT,12002,12011,BIO ALOE,49
GT,12002,12011,D GUSSTO,49
GT,12002,12012,BIG,165
GT,12002,12012,CIELO,212
GT,12002,12012,CIFRUT,165
GT,12002,12012,PULP,118
GT,12002,12012,SPORADE,188
GT,12002,12012,VOLT,129
GT,12002,12012,KR,71
GT,12002,12012,BIO ALOE,47
GT,12002,12012,D GUSSTO,47
GT,12002,12013,BIG,165
GT,12002,12013,CIELO,212
GT,12002,12013,CIFRUT,165
GT,12002,12013,PULP,118
GT,12002,12013,SPORADE,189
GT,12002,12013,VOLT,130
GT,12002,12013,KR,71
GT,12002,12013,BIO ALOE,47
GT,12002,12013,D GUSSTO,47
GT,12002,12014,BIG,155
GT,12002,12014,CIELO,200
GT,12002,12014,CIFRUT,155
GT,12002,12014,PULP,111
GT,12002,12014,SPORADE,178
GT,12002,12014,VOLT,122
GT,12002,12014,KR,67
GT,12002,12014,BIO ALOE,44
GT,12002,12014,D GUSSTO,44
GT,12002,12015,BIG,197
GT,12002,12015,CIELO,253
GT,12002,12015,CIFRUT,197
GT,12002,12015,PULP,141
GT,12002,12015,SPORADE,225
GT,12002,12015,VOLT,155
GT,12002,12015,KR,84
GT,12002,12015,BIO ALOE,56
GT,12002,12015,D GUSSTO,56
GT,12002,12016,BIG,186
GT,12002,12016,CIELO,239
GT,12002,12016,CIFRUT,186
GT,12002,12016,PULP,133
GT,12002,12016,SPORADE,212
GT,12002,12016,VOLT,146
GT,12002,12016,KR,80
GT,12002,12016,BIO ALOE,53
GT,12002,12016,D GUSSTO,53
GT,12002,12017,BIG,161
GT,12002,12017,CIELO,207
GT,12002,12017,CIFRUT,161
GT,12002,12017,PULP,115
GT,12002,12017,SPORADE,184
GT,12002,12017,VOLT,127
GT,12002,12017,KR,69
GT,12002,12017,BIO ALOE,46
GT,12002,12017,D GUSSTO,46
GT,12002,12018,BIG,163
GT,12002,12018,CIELO,210
GT,12002,12018,CIFRUT,163
GT,12002,12018,PULP,117
GT,12002,12018,SPORADE,186
GT,12002,12018,VOLT,128
GT,12002,12018,KR,70
GT,12002,12018,BIO ALOE,47
GT,12002,12018,D GUSSTO,47
GT,12002,12038,BIG,164
GT,12002,12038,CIELO,211
GT,12002,12038,CIFRUT,164
GT,12002,12038,PULP,117
GT,12002,12038,SPORADE,187
GT,12002,12038,VOLT,129
GT,12002,12038,KR,70
GT,12002,12038,BIO ALOE,47
GT,12002,12038,D GUSSTO,47
GT,12003,12019,BIG,146
GT,12003,12019,CIELO,188
GT,12003,12019,CIFRUT,146
GT,12003,12019,PULP,105
GT,12003,12019,SPORADE,167
GT,12003,12019,VOLT,115
GT,12003,12019,KR,63
GT,12003,12019,BIO ALOE,42
GT,12003,12019,D GUSSTO,42
GT,12003,12021,BIG,175
GT,12003,12021,CIELO,225
GT,12003,12021,CIFRUT,175
GT,12003,12021,PULP,125
GT,12003,12021,SPORADE,200
GT,12003,12021,VOLT,138
GT,12003,12021,KR,75
GT,12003,12021,BIO ALOE,50
GT,12003,12021,D GUSSTO,50
GT,12003,12022,BIG,149
GT,12003,12022,CIELO,192
GT,12003,12022,CIFRUT,149
GT,12003,12022,PULP,107
GT,12003,12022,SPORADE,170
GT,12003,12022,VOLT,117
GT,12003,12022,KR,64
GT,12003,12022,BIO ALOE,43
GT,12003,12022,D GUSSTO,43
GT,12003,12023,BIG,181
GT,12003,12023,CIELO,233
GT,12003,12023,CIFRUT,181
GT,12003,12023,PULP,130
GT,12003,12023,SPORADE,207
GT,12003,12023,VOLT,142
GT,12003,12023,KR,78
GT,12003,12023,BIO ALOE,52
GT,12003,12023,D GUSSTO,52
GT,12003,12024,BIG,165
GT,12003,12024,CIELO,212
GT,12003,12024,CIFRUT,165
GT,12003,12024,PULP,118
GT,12003,12024,SPORADE,189
GT,12003,12024,VOLT,130
GT,12003,12024,KR,71
GT,12003,12024,BIO ALOE,47
GT,12003,12024,D GUSSTO,47
GT,12003,12025,BIG,134
GT,12003,12025,CIELO,173
GT,12003,12025,CIFRUT,134
GT,12003,12025,PULP,96
GT,12003,12025,SPORADE,154
GT,12003,12025,VOLT,106
GT,12003,12025,KR,58
GT,12003,12025,BIO ALOE,38
GT,12003,12025,D GUSSTO,38
GT,12003,12026,BIG,165
GT,12003,12026,CIELO,212
GT,12003,12026,CIFRUT,165
GT,12003,12026,PULP,118
GT,12003,12026,SPORADE,188
GT,12003,12026,VOLT,129
GT,12003,12026,KR,71
GT,12003,12026,BIO ALOE,47
GT,12003,12026,D GUSSTO,47
GT,12003,12027,BIG,187
GT,12003,12027,CIELO,240
GT,12003,12027,CIFRUT,187
GT,12003,12027,PULP,134
GT,12003,12027,SPORADE,214
GT,12003,12027,VOLT,147
GT,12003,12027,KR,80
GT,12003,12027,BIO ALOE,53
GT,12003,12027,D GUSSTO,53
GT,12003,12037,BIG,128
GT,12003,12037,CIELO,165
GT,12003,12037,CIFRUT,128
GT,12003,12037,PULP,92
GT,12003,12037,SPORADE,146
GT,12003,12037,VOLT,101
GT,12003,12037,KR,55
GT,12003,12037,BIO ALOE,37
GT,12003,12037,D GUSSTO,37
GT,12004,12002,BIG,165
GT,12004,12002,CIELO,212
GT,12004,12002,CIFRUT,165
GT,12004,12002,PULP,118
GT,12004,12002,SPORADE,188
GT,12004,12002,VOLT,129
GT,12004,12002,KR,71
GT,12004,12002,BIO ALOE,47
GT,12004,12002,D GUSSTO,47
GT,12004,12028,BIG,183
GT,12004,12028,CIELO,235
GT,12004,12028,CIFRUT,183
GT,12004,12028,PULP,131
GT,12004,12028,SPORADE,209
GT,12004,12028,VOLT,144
GT,12004,12028,KR,78
GT,12004,12028,BIO ALOE,52
GT,12004,12028,D GUSSTO,52
GT,12004,12029,BIG,129
GT,12004,12029,CIELO,166
GT,12004,12029,CIFRUT,129
GT,12004,12029,PULP,92
GT,12004,12029,SPORADE,147
GT,12004,12029,VOLT,101
GT,12004,12029,KR,55
GT,12004,12029,BIO ALOE,37
GT,12004,12029,D GUSSTO,37
GT,12004,12030,BIG,141
GT,12004,12030,CIELO,181
GT,12004,12030,CIFRUT,141
GT,12004,12030,PULP,101
GT,12004,12030,SPORADE,161
GT,12004,12030,VOLT,111
GT,12004,12030,KR,60
GT,12004,12030,BIO ALOE,40
GT,12004,12030,D GUSSTO,40
GT,12004,12031,BIG,149
GT,12004,12031,CIELO,192
GT,12004,12031,CIFRUT,149
GT,12004,12031,PULP,107
GT,12004,12031,SPORADE,170
GT,12004,12031,VOLT,117
GT,12004,12031,KR,64
GT,12004,12031,BIO ALOE,43
GT,12004,12031,D GUSSTO,43
GT,12004,12032,BIG,181
GT,12004,12032,CIELO,233
GT,12004,12032,CIFRUT,181
GT,12004,12032,PULP,130
GT,12004,12032,SPORADE,207
GT,12004,12032,VOLT,142
GT,12004,12032,KR,78
GT,12004,12032,BIO ALOE,52
GT,12004,12032,D GUSSTO,52
GT,12004,12033,BIG,129
GT,12004,12033,CIELO,166
GT,12004,12033,CIFRUT,129
GT,12004,12033,PULP,92
GT,12004,12033,SPORADE,147
GT,12004,12033,VOLT,101
GT,12004,12033,KR,55
GT,12004,12033,BIO ALOE,37
GT,12004,12033,D GUSSTO,37
GT,12004,12034,BIG,167
GT,12004,12034,CIELO,214
GT,12004,12034,CIFRUT,167
GT,12004,12034,PULP,119
GT,12004,12034,SPORADE,190
GT,12004,12034,VOLT,131
GT,12004,12034,KR,71
GT,12004,12034,BIO ALOE,48
GT,12004,12034,D GUSSTO,48
GT,12004,12035,BIG,173
GT,12004,12035,CIELO,222
GT,12004,12035,CIFRUT,173
GT,12004,12035,PULP,124
GT,12004,12035,SPORADE,198
GT,12004,12035,VOLT,136
GT,12004,12035,KR,74
GT,12004,12035,BIO ALOE,49
GT,12004,12035,D GUSSTO,49
GT,10001,10001,BIG,138
GT,10001,10001,CIELO,146
GT,10001,10001,CIFRUT,138
GT,10001,10001,PULP,73
GT,10001,10001,SPORADE,130
GT,10001,10001,VOLT,89
GT,10001,10001,KR,49
GT,10001,10001,BIO ALOE,32
GT,10001,10001,D GUSSTO,41
GT,10001,10002,BIG,213
GT,10001,10002,CIELO,225
GT,10001,10002,CIFRUT,213
GT,10001,10002,PULP,113
GT,10001,10002,SPORADE,200
GT,10001,10002,VOLT,138
GT,10001,10002,KR,75
GT,10001,10002,BIO ALOE,50
GT,10001,10002,D GUSSTO,63
GT,10001,10003,BIG,180
GT,10001,10003,CIELO,191
GT,10001,10003,CIFRUT,180
GT,10001,10003,PULP,95
GT,10001,10003,SPORADE,170
GT,10001,10003,VOLT,117
GT,10001,10003,KR,64
GT,10001,10003,BIO ALOE,42
GT,10001,10003,D GUSSTO,53
GT,10001,10004,BIG,166
GT,10001,10004,CIELO,176
GT,10001,10004,CIFRUT,166
GT,10001,10004,PULP,88
GT,10001,10004,SPORADE,156
GT,10001,10004,VOLT,107
GT,10001,10004,KR,59
GT,10001,10004,BIO ALOE,39
GT,10001,10004,D GUSSTO,49
GT,10001,10005,BIG,194
GT,10001,10005,CIELO,205
GT,10001,10005,CIFRUT,194
GT,10001,10005,PULP,103
GT,10001,10005,SPORADE,182
GT,10001,10005,VOLT,125
GT,10001,10005,KR,68
GT,10001,10005,BIO ALOE,46
GT,10001,10005,D GUSSTO,57
GT,10001,10006,BIG,167
GT,10001,10006,CIELO,177
GT,10001,10006,CIFRUT,167
GT,10001,10006,PULP,89
GT,10001,10006,SPORADE,158
GT,10001,10006,VOLT,108
GT,10001,10006,KR,59
GT,10001,10006,BIO ALOE,39
GT,10001,10006,D GUSSTO,49
GT,10001,10007,BIG,186
GT,10001,10007,CIELO,197
GT,10001,10007,CIFRUT,186
GT,10001,10007,PULP,99
GT,10001,10007,SPORADE,175
GT,10001,10007,VOLT,120
GT,10001,10007,KR,66
GT,10001,10007,BIO ALOE,44
GT,10001,10007,D GUSSTO,55
GT,10001,10008,BIG,179
GT,10001,10008,CIELO,189
GT,10001,10008,CIFRUT,179
GT,10001,10008,PULP,95
GT,10001,10008,SPORADE,168
GT,10001,10008,VOLT,116
GT,10001,10008,KR,63
GT,10001,10008,BIO ALOE,42
GT,10001,10008,D GUSSTO,53
GT,10002,10009,BIG,150
GT,10002,10009,CIELO,159
GT,10002,10009,CIFRUT,150
GT,10002,10009,PULP,80
GT,10002,10009,SPORADE,142
GT,10002,10009,VOLT,97
GT,10002,10009,KR,53
GT,10002,10009,BIO ALOE,35
GT,10002,10009,D GUSSTO,44
GT,10002,10010,BIG,171
GT,10002,10010,CIELO,181
GT,10002,10010,CIFRUT,171
GT,10002,10010,PULP,90
GT,10002,10010,SPORADE,161
GT,10002,10010,VOLT,111
GT,10002,10010,KR,60
GT,10002,10010,BIO ALOE,40
GT,10002,10010,D GUSSTO,50
GT,10002,10011,BIG,157
GT,10002,10011,CIELO,167
GT,10002,10011,CIFRUT,157
GT,10002,10011,PULP,83
GT,10002,10011,SPORADE,148
GT,10002,10011,VOLT,102
GT,10002,10011,KR,56
GT,10002,10011,BIO ALOE,37
GT,10002,10011,D GUSSTO,46
GT,10002,10012,BIG,155
GT,10002,10012,CIELO,164
